,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
14,339,708,1047,14,336,250,35,51,14,0,704,1040,3,3,0,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-01-15,-0.4,0.0,1.8,52.3,3.1,0.0,0.0,0.0,0.0,2,1,4,1
15,1720,1277,2997,23,1713,1389,96,228,23,167,1259,2972,7,6,1,0,0,0,18,25,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-01-16,-0.2,0.1,2.9,68.0,7.1,4.83,0.0,0.0,0.1,3,1,5,1
16,2313,1135,3448,9,2285,1928,94,263,9,30,1117,3402,28,26,0,2,0,0,18,46,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-01-17,1.7,0.0,2.4,64.0,6.6,0.0,0.0,0.0,0.0,3,1,5,1
17,216,592,808,9,216,162,29,25,9,0,590,806,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-01-18,-6.3,0.2,4.8,59.8,6.0,4.9,0.0,0.0,0.2,3,1,4,4
18,78,222,300,13,78,61,9,8,13,0,217,295,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-01-19,-12.8,0.0,5.4,45.9,0.5,0.0,0.0,0.0,0.0,1,1,3,4
19,82,340,422,17,82,69,7,6,17,0,339,421,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-01-20,-10.5,0.0,1.8,43.6,1.9,0.0,0.0,0.0,0.0,1,1,3,1
20,153,474,627,3,149,115,15,19,3,0,462,611,4,4,0,0,0,0,12,16,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-01-21,-7.1,0.0,1.8,44.3,3.9,0.0,0.0,0.0,0.0,2,1,3,1
21,128,458,586,6,128,81,32,15,6,0,454,582,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-01-22,-7.6,0.0,2.6,40.5,5.4,0.0,0.0,0.0,0.0,2,1,2,1
22,296,594,890,6,296,198,80,18,6,71,592,888,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-01-23,-11.5,0.0,4.0,42.0,3.5,0.58,0.0,0.0,0.0,2,1,3,4
23,128,196,324,23,126,108,9,9,23,0,194,320,2,2,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-01-24,-14.4,0.0,3.2,48.5,0.0,0.0,0.0,0.0,0.0,1,1,3,2
24,72,350,422,5,72,58,10,4,5,0,350,422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-01-25,-9.4,0.0,1.9,47.1,0.9,0.0,0.0,0.0,0.0,1,1,3,1
25,150,608,758,10,149,122,11,16,10,0,599,748,1,1,0,0,0,0,9,10,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-01-26,-3.3,0.3,2.3,64.5,6.1,8.33,0.0,0.0,0.3,3,1,5,1
26,394,824,1218,29,389,282,61,46,29,0,816,1205,5,5,0,0,0,0,8,13,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-01-27,-1.1,0.0,2.0,56.3,2.4,0.0,0.0,0.0,0.0,1,1,4,1
27,370,776,1146,9,366,286,46,34,9,0,773,1139,4,4,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-01-28,-0.5,0.0,1.6,51.5,6.5,0.0,0.0,0.0,0.0,3,1,3,1
28,1074,703,1777,46,1074,663,50,361,46,571,700,1774,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-01-29,1.9,0.0,2.3,43.6,7.5,0.0,0.0,0.0,0.0,3,1,3,1
29,2655,1473,4128,72,2609,2226,145,238,69,0,1446,4055,46,40,1,5,3,0,27,73,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-01-30,0.6,0.0,2.0,59.5,4.5,0.0,0.0,0.0,0.0,2,1,4,1
30,1510,1074,2584,28,1476,1274,55,147,28,0,1048,2524,34,30,2,2,0,0,26,60,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-01-31,-3.9,0.0,3.2,34.0,3.1,0.0,0.0,0.0,0.0,2,1,2,2
31,3238,508,3746,18,3238,188,3033,17,18,3000,502,3740,0,0,0,0,0,0,6,6,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-02-01,-6.0,0.0,3.0,36.0,0.4,0.0,0.0,0.0,0.0,1,1,2,2
32,2199,728,2927,8,2198,165,2023,10,8,2000,715,2913,1,1,0,0,0,0,13,14,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-02-02,-5.3,0.0,2.2,41.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
33,296,834,1130,32,294,262,23,9,32,0,826,1120,2,2,0,0,0,0,8,10,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-02-03,-2.4,0.0,1.9,49.6,1.8,0.0,0.0,0.0,0.0,1,1,3,1
34,371,749,1120,28,365,313,31,21,26,0,726,1091,6,6,0,0,2,0,23,29,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-02-04,-0.7,0.0,2.4,50.1,2.9,0.0,0.0,0.0,0.0,1,1,3,1
35,304,536,840,14,300,231,41,28,14,0,529,829,4,3,0,1,0,0,7,11,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-02-05,-2.2,0.0,2.5,39.4,1.6,0.0,0.0,0.0,0.0,1,1,2,1
36,1082,976,2058,40,1050,896,53,101,40,0,956,2006,32,28,0,4,0,0,20,52,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-02-06,-3.1,0.0,2.9,38.6,0.0,0.0,0.0,0.0,0.0,1,1,2,1
37,1452,676,2128,191,1447,1247,74,126,191,0,668,2115,5,4,0,1,0,0,8,13,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-02-07,-2.9,0.0,2.0,46.5,1.0,0.0,0.0,0.0,0.0,1,1,3,1
38,2654,567,3221,429,2643,2281,120,242,429,0,560,3203,11,5,3,3,0,0,7,18,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-02-08,1.3,0.0,3.1,62.1,6.9,0.0,0.0,0.0,0.0,3,1,5,2
39,5453,1607,7060,209,5384,4554,223,607,205,0,1599,6983,69,56,0,13,4,0,8,77,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-02-09,0.3,0.0,3.0,52.5,0.5,0.0,0.0,0.0,0.0,1,1,4,2
40,7080,2869,9949,141,6939,5910,250,779,135,0,2797,9736,141,127,1,13,6,0,72,213,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-02-10,2.7,0.0,1.6,38.5,0.0,0.0,0.0,0.0,0.0,1,1,2,1
41,2077,1021,3098,98,2063,1531,113,419,98,671,1001,3064,14,14,0,0,0,0,20,34,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-02-11,8.1,0.1,3.5,29.3,6.0,2.08,0.0,0.0,0.1,3,3,1,2
42,97,260,357,0,97,74,17,6,0,0,259,356,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-02-12,8.4,18.0,3.2,95.3,10.0,24.0,0.0,0.0,18.0,4,3,5,2
43,1609,1133,2742,54,1573,1368,41,164,54,45,1100,2673,36,33,0,3,0,0,33,69,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-02-13,11.0,21.0,3.3,95.0,9.9,14.1,0.0,0.0,21.0,4,4,5,2
44,1053,989,2042,63,1044,853,83,108,63,0,984,2028,9,9,0,0,0,0,5,14,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-02-14,-2.6,2.5,4.6,73.1,7.8,9.0,0.0,0.0,2.5,3,1,5,4
45,250,446,696,39,248,192,27,29,39,0,445,693,2,2,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-02-15,-5.8,0.0,4.0,48.4,1.5,1.72,0.0,0.0,0.0,1,1,3,4
46,235,759,994,40,235,178,25,32,40,0,752,987,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-02-16,-2.7,0.8,2.7,65.6,3.8,4.92,0.0,0.0,0.8,2,1,5,1
47,579,850,1429,21,576,437,93,46,21,0,841,1417,3,3,0,0,0,0,9,12,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-02-17,0.0,0.0,2.3,53.9,0.3,0.0,0.0,0.0,0.0,1,1,4,1
48,698,924,1622,68,694,525,83,86,68,0,918,1612,4,4,0,0,0,0,6,10,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-02-18,3.5,0.0,3.2,66.4,5.4,0.0,0.0,0.0,0.0,2,1,5,2
49,737,893,1630,26,727,546,98,83,26,0,884,1611,10,9,0,1,0,0,9,19,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-02-19,2.3,0.0,1.7,56.4,6.8,0.0,0.0,0.0,0.0,3,1,4,1
50,4718,1908,6626,45,4652,3864,193,595,45,73,1872,6524,66,62,0,4,0,0,36,102,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-02-20,1.3,0.0,2.9,37.1,1.9,0.0,0.0,0.0,0.0,1,1,2,1
51,3507,1595,5102,89,3467,2874,157,436,89,0,1567,5034,40,37,0,3,0,0,28,68,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-02-21,-0.6,0.0,2.9,36.4,3.0,0.0,0.0,0.0,0.0,2,1,2,1
52,693,705,1398,8,689,519,74,96,8,0,701,1390,4,3,0,1,0,0,4,8,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-02-22,1.1,0.0,1.9,36.6,9.5,2.25,0.0,0.0,0.0,4,1,2,1
53,815,911,1726,32,805,549,106,150,28,65,892,1697,10,10,0,0,4,0,19,29,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-02-23,0.7,0.9,3.2,56.0,4.3,2.5,0.0,0.0,0.9,2,1,4,2
54,542,791,1333,19,539,369,81,89,17,33,785,1324,3,2,1,0,2,0,6,9,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-02-24,-3.0,0.0,2.9,42.0,0.3,0.0,0.0,0.0,0.0,1,1,3,1
55,723,815,1538,15,721,522,80,119,15,0,805,1526,2,2,0,0,0,0,10,12,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-02-25,-0.2,0.0,2.7,49.9,2.4,0.0,0.0,0.0,0.0,1,1,3,1
56,1375,1144,2519,19,1361,980,194,187,19,69,1129,2490,14,12,0,2,0,0,15,29,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-02-26,2.2,0.0,2.2,41.3,3.0,0.5,0.0,0.0,0.0,2,1,3,1
57,4798,1721,6519,0,4780,3974,196,610,0,175,1680,6460,18,16,1,1,0,0,41,59,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-02-27,3.3,0.2,2.0,57.6,6.6,3.83,0.0,0.0,0.2,3,1,4,1
58,3366,1604,4970,51,3345,2728,153,464,51,0,1586,4931,21,20,0,1,0,0,18,39,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-02-28,0.7,4.1,2.1,65.5,6.1,4.0,0.0,0.0,4.1,3,1,5,1
59,674,559,1233,27,674,476,92,106,27,0,550,1224,0,0,0,0,0,0,9,9,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-02-29,-3.8,0.0,4.0,48.6,2.5,2.05,0.0,0.0,0.0,1,1,3,4
60,2937,1570,4507,31,2912,2430,198,284,31,104,1540,4452,25,20,0,5,0,0,30,55,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-01,-2.7,0.0,2.5,47.3,1.5,0.0,0.0,0.0,0.0,1,1,3,1
61,1171,975,2146,8,1161,868,21,272,8,605,960,2121,10,10,0,0,0,0,15,25,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-02,3.1,0.0,2.9,67.9,6.4,0.0,0.0,0.0,0.0,3,1,5,1
62,733,1050,1783,20,713,701,2,10,20,0,1025,1738,20,20,0,0,0,0,25,45,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-03,8.1,0.0,1.9,65.1,5.6,0.0,0.0,0.0,0.0,2,3,5,1
63,1629,1154,2783,2,1547,1495,15,37,2,63,1095,2642,82,77,1,4,0,0,59,141,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-04,13.2,0.1,2.7,55.3,5.3,1.03,0.0,0.0,0.1,2,4,4,1
64,568,837,1405,10,557,485,12,60,10,0,828,1385,11,10,0,1,0,0,9,20,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-05,11.3,40.0,2.6,91.3,9.8,10.87,0.0,0.0,40.0,4,4,5,1
65,8797,2767,11564,108,8478,7380,219,879,99,0,2607,11085,319,289,0,30,9,0,160,479,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-06,7.9,0.2,2.8,51.0,2.4,2.92,0.0,0.0,0.2,1,2,3,1
66,705,775,1480,21,699,677,5,17,21,0,767,1466,6,6,0,0,0,0,8,14,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-07,8.1,0.0,2.0,36.9,8.0,0.17,0.0,0.0,0.0,3,3,2,1
67,10480,1041,11521,8,10477,462,10007,8,8,10000,1024,11501,3,3,0,0,0,0,17,20,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-08,2.7,0.0,3.1,40.4,8.5,0.0,0.0,0.0,0.0,3,1,2,2
68,393,862,1255,41,387,379,2,6,39,0,842,1229,6,5,0,1,2,0,20,26,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-09,0.3,0.0,3.5,37.5,4.4,0.0,0.0,0.0,0.0,2,1,2,2
69,294,890,1184,14,286,275,0,11,14,30,870,1156,8,8,0,0,0,0,20,28,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-10,-1.1,0.0,3.2,37.8,1.3,0.0,0.0,0.0,0.0,1,1,2,2
70,1569,736,2305,21,1561,970,9,582,21,1209,721,2282,8,5,3,0,0,0,14,22,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-11,-0.5,0.0,2.6,43.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
71,5251,2209,7460,55,5130,4322,169,639,55,86,2146,7276,121,105,2,14,0,0,63,184,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-12,2.0,0.0,2.5,55.6,5.4,0.0,0.0,0.0,0.0,2,1,4,1
72,4557,1795,6352,87,4399,3754,125,520,87,30,1738,6137,158,143,0,15,0,70,57,215,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-13,3.7,0.1,1.6,68.1,7.8,2.0,0.0,0.0,0.1,3,1,5,1
73,1215,1170,2385,57,1183,1145,10,28,55,0,1154,2337,32,30,0,2,2,0,16,48,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-14,4.7,0.0,2.6,57.0,3.5,0.0,0.0,0.0,0.0,2,2,4,1
74,1238,1303,2541,53,1210,1177,10,23,53,41,1247,2457,28,28,0,0,0,0,56,84,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-15,5.2,0.0,2.2,43.4,3.8,0.0,0.0,0.0,0.0,2,2,3,1
75,1513,1184,2697,40,1456,1412,7,37,40,0,1157,2613,57,53,0,4,0,0,27,84,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-16,7.5,0.0,2.0,45.1,2.4,0.0,0.0,0.0,0.0,1,2,3,1
76,1342,1187,2529,36,1307,1236,37,34,34,62,1155,2462,35,34,0,1,2,0,31,66,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-17,9.3,0.0,1.4,40.9,6.1,0.0,0.0,0.0,0.0,3,3,2,1
77,1736,1100,2836,29,1639,1580,13,46,24,0,1000,2639,85,83,0,2,5,0,77,162,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-18,13.4,0.0,2.4,50.0,4.4,0.0,0.0,0.0,0.0,2,4,3,1
78,26448,6683,33131,112,25030,21739,413,2878,112,178,6385,31415,1117,996,9,112,0,0,253,1370,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-19,11.4,0.0,2.5,58.3,0.0,0.0,0.0,0.0,0.0,1,4,4,1
79,27093,7267,34360,176,25635,21883,528,3224,164,0,6989,32624,1217,1064,7,146,12,0,184,1401,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-20,10.6,0.0,2.2,54.0,0.5,0.0,0.0,0.0,0.0,1,3,4,1
80,2358,1179,3537,58,2251,2169,14,68,56,0,1127,3378,56,54,0,2,2,0,43,99,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-21,9.9,0.0,2.2,54.1,0.1,0.0,0.0,0.0,0.0,1,3,4,1
81,1832,1506,3338,74,1775,1716,19,40,74,53,1382,3157,41,39,1,1,0,0,101,142,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-22,8.0,0.0,2.5,58.1,3.9,0.0,0.0,0.0,0.0,2,3,4,1
82,1553,1234,2787,22,1455,1331,58,66,18,57,1178,2633,37,34,0,3,4,0,47,84,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-23,8.2,0.0,2.9,49.6,3.1,0.0,0.0,0.0,0.0,2,3,3,1
83,1322,1116,2438,50,1287,1191,37,59,50,63,1045,2332,34,32,0,2,0,0,48,82,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-24,7.2,0.0,2.4,36.5,0.4,0.0,0.0,0.0,0.0,1,2,2,1
84,1999,1292,3291,65,1828,1668,78,82,59,38,1229,3057,41,37,1,3,6,0,53,94,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-25,7.1,0.0,2.2,43.9,1.0,0.0,0.0,0.0,0.0,1,2,3,1
85,16958,4790,21748,192,16070,13650,400,2020,185,62,4627,20697,546,464,8,74,7,0,138,684,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-26,6.5,0.0,2.2,54.5,0.5,0.0,0.0,0.0,0.0,1,2,4,1
86,23610,6879,30489,205,22467,19227,482,2758,203,60,6609,29076,921,814,5,102,2,0,215,1136,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-27,7.2,0.0,2.6,55.6,0.0,0.0,0.0,0.0,0.0,1,2,4,1
87,2666,1470,4136,97,2610,2442,85,83,91,131,1382,3992,38,35,0,3,6,0,68,106,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-28,9.8,0.0,2.0,47.8,0.3,0.0,0.0,0.0,0.0,1,3,3,1
88,1133,1115,2248,47,1118,1001,28,89,43,62,1051,2169,15,12,1,2,4,0,36,51,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-29,11.3,0.1,3.2,57.8,7.4,1.17,0.0,0.0,0.1,3,4,4,2
89,3740,1117,4857,70,3646,2111,1195,340,70,1834,1041,4687,25,24,0,1,0,0,39,64,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-30,11.5,0.0,2.2,49.9,2.0,0.0,0.0,0.0,0.0,1,4,3,1
90,3174,1584,4758,100,2918,2380,402,136,100,393,1495,4413,134,114,4,16,0,0,57,191,0,0,0,0,0,0,0,0,1,0,0,0,0,2016-03-31,13.5,0.0,2.1,27.0,4.5,0.0,0.0,0.0,0.0,2,4,1,1
91,5730,1807,7537,47,5443,3981,1202,260,39,1102,1622,7065,172,150,8,14,8,56,170,342,1,0,0,0,0,0,0,0,1,0,0,0,0,2016-04-01,15.3,0.0,2.0,26.0,3.0,0.0,0.0,0.0,0.0,2,4,1,1
92,31407,6380,37787,169,29401,25360,544,3497,158,201,5978,35379,1408,1245,17,146,11,0,375,1783,0,0,0,0,0,1,0,0,1,0,0,0,0,2016-04-02,15.0,0.0,2.3,40.8,2.4,0.0,0.0,0.0,0.0,1,4,2,1
93,8038,1914,9952,141,7761,6464,345,952,141,785,1809,9570,43,34,2,7,0,0,57,100,0,0,0,0,1,0,0,0,1,0,0,0,0,2016-04-03,10.7,2.0,1.7,75.1,8.0,8.43,0.5,1.0,2.0,3,3,5,1
94,4515,2298,6813,59,4253,4028,52,173,59,105,2097,6350,206,191,0,15,0,0,178,384,0,0,0,1,0,0,0,0,1,0,0,0,0,2016-04-04,12.3,0.0,2.2,42.6,2.3,0.0,0.0,0.0,0.0,1,4,3,1
95,4652,2800,7452,79,4232,4046,75,111,74,213,2331,6563,237,232,0,5,5,130,376,613,0,0,0,0,0,0,1,0,1,0,0,0,0,2016-04-05,11.4,0.0,2.5,45.1,0.8,0.0,0.0,0.0,0.0,1,4,3,1
96,5973,3059,9032,50,5767,4317,1202,248,48,1562,2384,8151,154,150,0,4,2,366,662,816,0,0,1,0,0,0,0,0,1,0,0,0,0,2016-04-06,14.4,3.0,1.9,44.3,6.8,2.12,1.0,2.5,3.0,3,4,3,1
97,2863,2150,5013,72,2715,2535,117,63,72,225,1829,4544,109,103,0,6,0,154,302,411,0,1,0,0,0,0,0,0,1,0,0,0,0,2016-04-07,14.1,7.5,3.0,69.5,3.9,6.95,0.5,2.0,7.5,2,4,5,2
98,7731,3639,11370,94,6958,5558,1183,217,88,1443,2925,9883,445,426,4,15,6,287,663,1108,1,0,0,0,0,0,0,0,1,0,0,0,0,2016-04-08,11.1,0.0,2.5,76.1,3.8,0.0,0.0,0.0,0.0,2,4,5,1
99,25027,7852,32879,226,23176,19649,800,2727,196,214,7341,30517,1153,1015,25,113,30,0,452,1605,0,0,0,0,0,1,0,0,1,0,0,0,0,2016-04-09,10.7,0.0,1.8,83.9,8.0,0.0,0.0,0.0,0.0,3,3,5,1
100,26912,6227,33139,446,25392,21434,901,3057,410,176,5593,30985,1177,1007,35,135,36,0,574,1751,0,0,0,0,1,0,0,0,1,0,0,0,0,2016-04-10,13.4,0.0,2.1,71.3,5.0,0.0,0.0,0.0,0.0,2,4,5,1
101,7948,3365,11313,97,7409,4851,2145,413,74,2583,2890,10299,383,372,0,11,23,0,421,804,0,0,0,1,0,0,0,0,1,0,0,0,0,2016-04-11,12.5,0.0,2.4,43.8,0.0,0.0,0.0,0.0,0.0,1,4,3,1
102,7146,4882,12028,89,6699,4321,2100,278,83,3281,3945,10644,286,274,1,11,6,403,900,1186,0,0,0,0,0,0,1,0,1,0,0,0,0,2016-04-12,14.1,0.0,2.3,42.6,6.0,0.0,0.0,0.0,0.0,3,4,3,1
103,20915,5490,26405,172,19170,15846,693,2631,145,97,4965,24135,1344,1165,15,164,27,0,484,1828,0,0,1,0,0,0,0,0,1,0,0,0,0,2016-04-13,15.6,1.0,1.7,67.5,5.1,7.5,0.5,1.0,1.0,2,4,5,1
104,4129,2950,7079,125,3694,2474,778,442,106,1515,2310,6004,211,209,0,2,19,299,601,812,0,1,0,0,0,0,0,0,1,0,0,0,0,2016-04-14,12.4,0.0,2.6,75.9,2.3,0.0,0.0,0.0,0.0,1,4,5,1
105,9746,4482,14228,115,9200,4607,2578,2015,115,6243,3600,12800,346,297,36,13,0,449,848,1194,1,0,0,0,0,0,0,0,1,0,0,0,0,2016-04-15,15.0,0.0,2.6,46.4,0.0,0.0,0.0,0.0,0.0,1,4,3,1
106,10410,3744,14154,162,9461,7919,262,1280,148,549,3359,12820,592,535,6,51,14,0,355,947,0,0,0,0,0,1,0,0,1,0,0,0,0,2016-04-16,14.9,23.5,2.9,58.9,7.5,11.17,2.0,7.5,23.5,3,4,4,1
107,11445,2760,14205,160,10655,9106,267,1282,160,60,2550,13205,576,512,11,53,0,30,183,759,0,0,0,0,1,0,0,0,1,0,0,0,0,2016-04-17,10.8,20.5,4.7,66.8,6.1,5.67,2.0,7.5,20.5,3,3,5,4
